cpe,ภาควิชาคอมพิวเตอร์
isne,ภาควิชาสารสนเทศ สื่อสารและเครือข่าย
tcas,การรับนักศึกษาปริญญาตรี
ipas,การรับนักศึกษาปริญญาตรี ภาควิชาสารสนเทศ สื่อสารและเครือข่าย
ป.โท,ปริญญาโท
ป.ตรี,ปริญญาตรี
ป.เอก,ปริญญาเอก
อ.,อาจารย์
sakgasit ramingwong,ศักดิ์กษิต ระมิงค์วงศ์,หัวหน้าภาค
karn patanukhom,กานต์ ปทานุคม,รองหัวหน้าภาค
juggapong natwichai,จักรพงศ์ นาทวิชัย,อาจารย์
narissara eiamkanitchat,นริศรา เอี่ยมคณิตชาติ,อาจารย์
sanpawat kantabutra,สรรพวรรธน์ กันตะบุตร,อาจารย์
sansanee auephanwiriyakul,ศันสนีย์ เอื้อพันธ์วิริยะกุล,อาจารย์
santi phithakkitnukoon,สันติ พิทักษ์กิจนุกูร,อาจารย์
trasapong thaiupathump,ตรัสพงศ์ ไทยอุปถัมภ์,อาจารย์
anya apavatjrut,อัญญา อาภาวัชรุตม์,อาจารย์
dome potikanond,โดม โพธิกานนท์,อาจารย์
kampol woradit,กำพล วรดิษฐ์,อาจารย์
kenneth cosh,Kenneth Cosh,อาจารย์
lachana ramingwong,ลัชนา ระมิงค์วงศ์,อาจารย์
narathip tiangtae,นราธิป เที่ยงแท้,อาจารย์
navadon khunlertgit,นวดนย์ คุณเลิศกิจ,อาจารย์
paskorn champrasert,ภาสกร แช่มประเสริฐ,อาจารย์
patiwet wuttisarnwattana,ปฏิเวธ วุฒิสารวัฒนา,อาจารย์
yuthapong somchit,ยุทธพงษ์ สมจิต,อาจารย์
arnan sipitakiat,อานันท์ สีห์พิทักษ์เกียรติ,อาจารย์
chinawat isradisaikul,ชินวัตร อิศราดิสัยกุล,อาจารย์
kasemsit teeyapan,เกษมสิทธิ์ ตียพันธ์,อาจารย์
natthanan promsuk,ณัฐนันท์ พรหมสุข,อาจารย์
pruet boonma,พฤษภ์ บุญมา,อาจารย์
